LOCATION;TIME;Hours worked
AUS;2007;1722.6
AUS;2008;1720.9
AUS;2009;1692.3
AUS;2010;1699.9
AUS;2011;1699.9
AUS;2012;1692.5
AUS;2013;1689.4
AUS;2014;1683.3
AUS;2015;1683.5
AUS;2016;1673.4
AUS;2017;1674.9
AUT;2007;1612
AUT;2008;1605
AUT;2009;1564
AUT;2010;1557
AUT;2011;1562
AUT;2012;1540
AUT;2013;1525
AUT;2014;1516
AUT;2015;1500
AUT;2016;1512
AUT;2017;1511
BEL;2007;1577
BEL;2008;1570
BEL;2009;1548
BEL;2010;1546
BEL;2011;1560
BEL;2012;1560
BEL;2013;1558
BEL;2014;1545
BEL;2015;1545
BEL;2016;1545
BEL;2017;1545
CAN;2007;1744
CAN;2008;1741
CAN;2009;1712
CAN;2010;1715
CAN;2011;1713
CAN;2012;1722
CAN;2013;1716
CAN;2014;1710
CAN;2015;1712
CAN;2016;1706
CAN;2017;1695
CHE;2007;1668.9
CHE;2008;1659.5
CHE;2009;1650.8
CHE;2010;1624.3
CHE;2011;1619.3
CHE;2012;1603.2
CHE;2013;1582.9
CHE;2014;1575.3
CHE;2015;1589.5
CHE;2016;1589.7
CHE;2017;1570
CHL;2007;2128
CHL;2008;2095
CHL;2009;2074
CHL;2010;2070
CHL;2011;2047
CHL;2012;2024
CHL;2013;2015
CHL;2014;1990
CHL;2015;1988
CHL;2016;1974
CHL;2017;1954
CRI;2007;2387
CRI;2008;2392
CRI;2009;2348
CRI;2010;2243.1
CRI;2011;2285.3
CRI;2012;2233.4
CRI;2013;2140.6
CRI;2014;2121.7
CRI;2015;2148.2
CRI;2016;2204.7
CRI;2017;2178.9
CZE;2007;1784
CZE;2008;1790
CZE;2009;1779
CZE;2010;1800
CZE;2011;1806
CZE;2012;1776
CZE;2013;1763
CZE;2014;1777
CZE;2015;1756
CZE;2016;1779
CZE;2017;1784
DEU;2007;1424.4
DEU;2008;1418.4
DEU;2009;1372.7
DEU;2010;1389.9
DEU;2011;1392.8
DEU;2012;1375
DEU;2013;1362.7
DEU;2014;1366.9
DEU;2015;1369.8
DEU;2016;1362.8
DEU;2017;1360.4
DNK;2007;1433
DNK;2008;1430
DNK;2009;1417
DNK;2010;1422
DNK;2011;1437
DNK;2012;1423
DNK;2013;1426
DNK;2014;1414
DNK;2015;1407
DNK;2016;1412
DNK;2017;1405
ESP;2007;1703.5
ESP;2008;1712.6
ESP;2009;1719.7
ESP;2010;1710.4
ESP;2011;1715.5
ESP;2012;1701.2
ESP;2013;1693.5
ESP;2014;1694.6
ESP;2015;1699.6
ESP;2016;1701.5
ESP;2017;1690.2
EST;2007;1929
EST;2008;1900
EST;2009;1769
EST;2010;1810
EST;2011;1852
EST;2012;1820
EST;2013;1801
EST;2014;1795
